Category: All categories

Week,emoji: (Worldwide)
2013-01-06,30
2013-01-13,31
2013-01-20,30
2013-01-27,29
2013-02-03,29
2013-02-10,29
2013-02-17,29
2013-02-24,27
2013-03-03,28
2013-03-10,29
2013-03-17,29
2013-03-24,31
2013-03-31,28
2013-04-07,30
2013-04-14,29
2013-04-21,28
2013-04-28,30
2013-05-05,34
2013-05-12,38
2013-05-19,52
2013-05-26,71
2013-06-02,87
2013-06-09,100
2013-06-16,88
2013-06-23,79
2013-06-30,71
2013-07-07,64
2013-07-14,58
2013-07-21,58
2013-07-28,55
2013-08-04,54
2013-08-11,55
2013-08-18,50
2013-08-25,47
2013-09-01,51
2013-09-08,50
2013-09-15,52
2013-09-22,47
2013-09-29,45
2013-10-06,45
2013-10-13,47
2013-10-20,45
2013-10-27,46
2013-11-03,48
2013-11-10,48
2013-11-17,48
2013-11-24,51
2013-12-01,48
2013-12-08,48
2013-12-15,51
2013-12-22,70
2013-12-29,75
