year,FAO,UNFCCC,Research
2001,3.74,3.51,3.22
2002,4.12,3.84,3.49
2003,3.21,2.93,2.63
2004,4.48,4.23,3.94
2005,4.92,4.53,4.11
2006,5.00,4.60,4.22
2007,5.87,5.37,4.81
2008,5.74,5.25,4.70
2009,7.27,6.66,6.08
2010,6.50,6.12,5.56
2011,6.09,5.72,5.15
2012,7.93,7.35,6.64
2013,7.14,6.29,5.38
2014,9.84,8.86,7.60
2015,7.79,7.13,6.23
2016,11.30,10.43,9.18
2017,11.30,9.84,8.29
2018,9.35,8.22,6.91
